Id	City	State Id	Population	Area	Density	Latitude	Longitude
0	unknown	0	0	0	0	0	0
1	New York	79	8491079	783.8	10430	40.6643	-73.9385
4	Los Angeles	1	3928864	1213.9	3124	34.0194	-118.4108
5	Chicago	401	2722389	589.6	4572	41.8376	-87.6818
6	Housto	368	2239558	1552.9	1352	29.7805	-95.3863
7	Philadelphi	408	1560297	347.3	4394	40.0094	-75.1333
8	Phoenix	253	1537058	1338.3	1080	33.5722	-112.088
9	San Antonio	368	1436697	1193.8	1112	29.4724	-98.5251
10	San Diego	1	1381069	842.2	1552	32.8153	-117.135
11	Dallas	368	1281047	881.9	1358	32.7757	-96.7967
12	San Jose	1	1015785	457.3	2069	37.2969	-121.8193
13	Austin	368	912791	835.2	1024	30.3072	-97.7561
14	Jacksonville	396	853382	1934.7	433	30.3371	-81.6613
16	San Francisco	1	852469	121.4	6633	37.7751	-122.4193
17	Indianapolis	27	848788	936.1	876	39.7767	-86.1459
18	Columbus	333	835957	562.5	1399	39.9848	-82.9851
19	Fort Worth	368	812238	880.1	842	32.7795	-97.3463
20	Charlotte	403	809958	771	949	35.2087	-80.8307
21	Detroit	183	680250	359.4	1986	42.3831	-83.1022
22	El Paso	368	679036	661.1	982	31.8484	-106.427
23	Seattle	399	668342	217.4	2800	47.6205	-122.3509
24	Denver	201	663862	396.3	1515	39.7618	-104.8806
25	Washington	399	658893	158.1	3806	38.9041	-77.0171
26	Memphis	2	656861	816	793	35.1035	-89.9785
28	Boston	124	655884	125	4939	42.3321	-71.0202
29	Nashville	2	644014	1230.8	489	36.1718	-86.7851
30	Baltimore	106	622793	209.6	2962	39.3002	-76.6105
31	Oklahoma City	308	620602	1570.6	369	35.4671	-97.5137
32	Portland	40	619360	345.6	1689	45.5371	-122.6511
33	Las Vegas	400	613599	351.8	1660	36.2277	-115.2641
34	Louisville	298	612780	842.4	709	38.1781	-85.6667
35	Milwaukee	407	599642	249	2389	43.0633	-87.9667
36	Albuquerque	3	557169	486.2	1123	35.1056	-106.6474
37	Tucson	253	527972	587.2	886	32.1543	-110.8711
38	Fresno	1	515986	293.2	1706	36.7827	-119.7945
39	Sacramento	1	485199	253.6	1839	38.5666	-121.4686
41	Long Beach	1	473577	130.3	3549	33.8091	-118.1553
42	Kansas City	409	470800	815.7	564	39.1252	-94.5511
43	Mesa	253	464704	353.4	1242	33.4019	-111.7174
44	Atlanta	15	456002	344.9	1218	33.7629	-84.4227
45	Virginia Beach	134	450980	644.9	679	36.7793	-76.024
46	Omaha	374	446599	329.2	1242	41.2647	-96.0419
47	Colorado Springs	201	445830	503.9	826	38.8673	-104.7607
48	Raleigh	403	439896	370.1	1091	35.8302	-78.6414
49	Miami	396	430332	92.9	4455	25.7752	-80.2086
50	Oakland	1	413775	144.8	2704	37.7699	-122.2256
51	Minneapolis	395	407207	139.8	2737	44.9633	-93.2683
52	Tulsa	308	399682	509.6	769	36.1279	-95.9023
53	Cleveland	333	389521	201.2	1972	41.4781	-81.6795
54	Wichita	359	388413	412.6	927	37.6907	-97.3427
56	New Orleans	405	384320	438.8	784	30.0686	-89.939
57	Arlington	368	383204	248.3	1472	32.7007	-97.1247
58	Bakersfield	1	368759	368.2	944	35.3212	-119.0183
59	Tampa	396	358699	293.7	1182	27.9701	-82.4797
60	Aurora	201	353108	369.1	881	39.7082	-104.8235
61	Honolulu	80	350399	156.7	2152	21.3259	-157.8453
62	Anaheim	1	346997	129.1	2605	33.8555	-117.7601
63	Santa Ana	1	334909	70.6	4595	33.7365	-117.8826
64	Corpus Christi	368	320434	416	734	27.7543	-97.1734
66	Riverside	1	319504	210.2	1446	33.9381	-117.3932
67	St. Louis	409	317419	160.3	1991	38.6357	-90.2446
68	Lexington	298	310797	734.6	403	38.0402	-84.4584
69	Pittsburgh	408	305412	143.4	2132	40.4398	-79.9766
70	Stockton	1	302389	159.7	1826	37.9763	-121.3133
71	Anchorage	404	301010	4415.1	66	61.2176	-149.8953
72	Cincinnati	333	298165	201.9	1471	39.1399	-84.5064
73	Saint Paul	395	297640	134.6	2118	44.9489	-93.1039
74	Greensboro	403	282586	327.7	823	36.0965	-79.8271
75	Toledo	333	281031	209	1374	41.6641	-83.5819
76	Newark	397	280579	62.6	4424	40.7242	-74.1726
77	Plano	368	278480	185.4	1402	33.0508	-96.7479
78	Henderson	400	277440	279	924	36.0122	-115.0375
81	Lincoln	374	272996	230.8	1119	40.809	-96.6804
82	Orlando	396	262372	265.2	899	28.4159	-81.2988
83	Jersey City	397	262146	38.3	6462	40.7114	-74.0648
84	Chula Vista	1	260988	128.5	1898	32.6277	-117.0152
85	Buffalo	79	258703	104.6	2498	42.8925	-78.8597
86	Fort Wayne	27	258522	286.5	885	41.0882	-85.1439
87	Chandler	253	254276	166.8	1415	33.2829	-111.8549
88	St. Petersburg	396	253693	159.9	1531	27.762	-82.6441
89	Laredo	368	252309	230.3	1025	27.5477	-99.4869
90	Durham	403	251893	278.1	821	35.981	-78.9056
91	Irvine	1	248531	171.2	1240	33.6784	-117.7713
92	Madison	407	245691	198.9	1173	43.0878	-89.4301
93	Norfolk	134	245428	140.2	1732	36.923	-76.2446
95	Lubbock	368	243839	317	724	33.5665	-101.8867
96	Gilbert	253	239277	176	1184	33.3102	-111.7422
97	Winston–Salem	403	239269	343	669	36.1033	-80.2606
98	Glendale	253	237517	155.3	1460	33.5331	-112.1899
99	Reno	400	236995	266.8	844	39.4745	-119.7765
100	Hialeah	396	235563	55.6	4044	25.8699	-80.3029
101	Garland	368	235501	147.8	1535	32.9098	-96.6304
102	Chesapeake	134	233371	882.7	252	36.6794	-76.3018
103	Irving	368	232406	173.6	1246	32.8577	-96.97
104	North Las Vegas	400	230788	262.5	827	36.283	-115.0893
105	Scottsdale	253	230512	476.4	456	33.6687	-111.8237
107	Baton Rouge	405	228895	199.3	1152	30.4485	-91.1259
108	Fremont	1	228758	200.6	1067	37.4944	-121.9411
109	Richmond	134	217853	154.9	1318	37.5314	-77.476
110	Boise	398	216282	205.56	1001	43.5985	-116.2311
111	San Bernardino	1	215213	153.3	1369	34.1393	-117.2953
112	Birmingham	325	212247	378.3	561	33.5274	-86.799
113	Spokane	399	212052	153.4	1361	47.6736	-117.4166
114	Rochester	79	209983	92.7	2272	43.1699	-77.6169
115	Modesto	1	209286	95.5	2107	37.6609	-120.9891
116	Des Moines	164	209220	209.5	971	41.5739	-93.6167
117	Oxnard	1	205437	69.7	2841	34.2023	-119.2046
118	Tacoma	399	205159	128.8	1541	47.2522	-122.4598
119	Fontana	1	204950	109.9	1784	34.1088	-117.4627
120	Fayetteville	403	203948	377.7	531	35.0851	-78.9803
121	Moreno Valley	1	202976	132.8	1456	33.9233	-117.2057
122	Columbus	15	200887	560.4	339	32.5102	-84.8749
123	Huntington Beach	1	200809	69.3	2742	33.6906	-118.0093
125	Yonkers	79	200667	46.7	4201	40.9459	-73.8674
126	Montgomery	325	200481	413.3	498	32.3463	-86.2686
127	Aurora	401	200456	116.4	1700	41.7635	-88.2901
128	Glendale	1	200167	78.9	2431	34.1814	-118.2458
129	Shreveport	405	198242	272.9	730	32.467	-93.7927
130	Akron	333	197859	160.7	1239	41.0805	-81.5214
131	Little Rock	393	197706	308.7	627	34.7254	-92.3586
132	Amarillo	368	197254	257.6	740	35.1978	-101.8287
133	Augusta	15	196741	783.4	250	33.3655	-82.0734
135	Mobile	325	194675	360.3	542	30.6684	-88.1002
136	Grand Rapids	183	193792	115	1635	42.9612	-85.6556
137	Salt Lake City	410	190884	287.8	648	40.7785	-111.9314
138	Huntsville	325	188226	541.4	333	34.7843	-86.539
139	Tallahassee	396	188107	259.6	699	30.4551	-84.2534
140	Grand Prairie	368	185453	186.8	939	32.6842	-97.021
141	Overland Park	359	184525	193.8	894	38.889	-94.6906
142	Knoxville	2	184281	255.2	701	35.9709	-83.9465
143	Brownsville	368	183046	342.7	511	26.0183	-97.4538
144	Worcester	124	183016	96.8	1870	42.2695	-71.8078
145	Newport News	134	182965	178	1015	37.076	-76.5217
147	Santa Clarita	1	181557	136.5	1291	34.4049	-118.5047
148	Providence	344	179154	47.7	3736	41.8231	-71.4188
149	Fort Lauderdale	396	176013	90	1838	26.1413	-80.1439
150	Garden Grove	1	175078	46.5	3677	33.7788	-117.9605
151	Oceanside	1	174558	106.8	1565	33.2246	-117.3062
152	Rancho Cucamonga	1	174305	103.2	1601	34.1233	-117.5642
153	Santa Rosa	1	174170	107	1569	38.4468	-122.7061
154	Port St. Lucie	396	174110	295.1	558	27.281	-80.3838
155	Chattanooga	2	173778	355.2	472	35.0665	-85.2471
156	Tempe	253	172816	103.4	1564	33.3884	-111.9318
157	Jackson	275	171155	287.6	603	32.3158	-90.2128
158	Cape Coral	396	169854	273.7	564	26.6431	-81.9973
159	Vancouver	399	169294	120.3	1345	45.6372	-122.5965
160	Ontario	1	169089	129.3	1267	34.0395	-117.6088
161	Sioux Falls	216	168586	189	814	43.5383	-96.732
162	Peoria	253	166934	451.7	341	33.7877	-112.3111
163	Springfield	409	165378	211.7	754	37.1942	-93.2913
165	Pembroke Pines	396	164626	85.8	1804	26.0212	-80.3404
166	Elk Grove	1	163553	109.3	1400	38.4144	-121.3849
167	Salem	40	161637	124	1247	44.9237	-123.0231
168	Corona	1	161486	100.6	1515	33.8624	-117.5639
169	Lancaster	1	161043	244.2	641	34.6936	-118.1753
170	Eugene	40	160561	113.2	1379	44.0567	-123.1162
171	Palmdale	1	158279	274.4	557	34.5913	-118.109
172	McKinney	368	156767	161.1	814	33.2012	-96.668
173	Salinas	1	156677	60	2506	36.6902	-121.6337
174	Fort Collins	201	156480	140.6	1024	40.5482	-105.0648
175	Cary	403	155227	140.8	961	35.7821	-78.8141
176	Hayward	1	154612	117.4	1228	37.6281	-122.1063
177	Springfield	124	153991	82.5	1855	42.1155	-72.54
178	Pasadena	368	153887	110.8	1346	29.6583	-95.1505
179	Macon	15	153691	661	237	32.505	-83.396
180	Pomona	1	153350	59.4	2508	34.0586	-117.7613
181	Alexandria	134	150575	38.9	3596	38.8183	-77.082
182	Escondido	1	150243	95.3	1509	33.1336	-117.0732
184	Sunnyvale	1	149980	56.9	2460	37.3858	-122.0263
185	Lakewood	201	149643	111.1	1287	39.6989	-105.1176
186	359 City	359	149636	323.3	451	39.1225	-94.7418
187	Rockford	401	149123	158.2	966	42.2634	-89.0628
188	Torrance	1	148495	53	2742	33.835	-118.3414
189	Hollywood	396	148047	70.9	1986	26.0311	-80.1646
190	Joliet	401	147928	160.9	916	41.5181	-88.1584
191	Bridgeport	276	147612	41.4	3486	41.1874	-73.1957
192	Clarksville	2	146806	252.8	526	36.5664	-87.3452
193	Paterson	397	146753	21.8	6697	40.9147	-74.1628
194	Naperville	401	146128	100.4	1413	41.7492	-88.162
195	Frisco	368	145035	160.1	731	33.151	-96.8193
196	Mesquite	368	144416	119.2	1173	32.7639	-96.5924
197	Savannah	15	144352	267.2	510	32.0025	-81.1536
198	Syracuse	79	144263	64.9	2238	43.041	-76.1436
199	Dayton	333	141003	144.1	982	39.7774	-84.1996
200	Pasadena	1	140881	59.5	2305	34.1606	-118.1396
202	Orange	1	139812	64.2	2124	33.8048	-117.8249
203	Fullerton	1	139677	57.9	2335	33.8857	-117.928
204	McAllen	368	138596	125.2	1037	26.2185	-98.2461
205	Killeen	368	138154	138.8	922	31.0777	-97.732
206	Hampton	134	136879	133.2	1032	37.048	-76.2971
207	Bellevue	399	136426	82.8	1478	47.5978	-122.1565
208	Warren	183	135099	89	1505	42.4929	-83.025
209	Miramar	396	134989	76.5	1596	25.977	-80.3358
210	West Valley City	410	134495	92.1	1406	40.6885	-112.0118
211	Olathe	359	133062	154.5	815	38.8843	-94.8188
212	Columbia	406	132067	342.4	378	34.0298	-80.8966
213	Sterling Heights	183	131741	94.5	1372	42.5812	-83.0303
214	Thornton	201	130307	90.2	1316	39.918	-104.9454
215	New Haven	276	130282	48.4	2683	41.3108	-72.925
217	Waco	368	130194	230.4	542	31.5601	-97.186
218	Charleston	406	130113	282.3	425	32.8179	-79.9589
219	Thousand Oaks	1	129342	142.5	889	34.1933	-118.8742
220	Visalia	1	129281	93.9	1326	36.3272	-119.3234
221	Cedar Rapids	164	129195	183.4	689	41.967	-91.6778
222	Elizabeth	397	128705	31.9	3917	40.6663	-74.1935
223	Roseville	1	128615	93.8	1266	38.7657	-121.3032
224	Gainesville	396	128460	158.8	783	29.6788	-82.3459
225	Carrollton	368	128353	94	1267	32.9884	-96.8998
226	Stamford	276	128278	97.5	1258	41.0799	-73.546
